visual_name,kpi_name,value,value_type
Untitled Visual,,"Total Sales
$12.64M",number
Untitled Visual,Total Sales,"Total Orders
25K",number
Untitled Visual,Total Orders,"Total Customers
2K",number
Untitled Visual,Total Customers,"Total Profit
$1.47M",number
Untitled Visual,Total Profit,"Profit Margin
11.61%",number
Untitled Visual,Profit Margin,"Return Rate %
4.68 %",number
Untitled Visual,Return Rate %,"$12,642,501.91",number
Untitled Visual,,25035,number
Untitled Visual,Total Sales,1590,number
Untitled Visual,Total Orders,"$1,467,457.29",number
Untitled Visual,Total Customers,11.61%,number
Untitled Visual,Total Profit,4.68 %,number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","Total Sales
$12.64M",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"Total Orders
25K",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"Total Customers
2K",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","Total Profit
$1.47M",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"Profit Margin
11.61%",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"Return Rate %
4.68 %",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$335,780.01",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$36,043.28",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$478,870.98",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$48,501.40",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$613,306.37",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$65,075.56",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$831,493.54",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$99,320.58",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$399,367.71",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$43,394.65",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$625,592.86",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$81,650.82",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$737,768.89",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$86,935.45",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$914,709.23",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$95,434.36",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$565,019.59",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$74,006.83",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$834,839.49",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$93,436.15",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$933,036.99",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$98,793.16",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$1,072,850.38",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$140,699.09",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$689,206.68",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$85,110.35",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$932,986.97",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$101,514.46",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$1,196,482.87",number
Total Sales and Total Profit by Year and Quarter,Total Profit,"$149,558.22",number
Total Sales and Total Profit by Year and Quarter,"Year, Quarter","$1,481,189.35",number
Total Sales and Total Profit by Year and Quarter,Total Sales,"$167,982.94",number
Total Sales by MARKET,MARKET,"Total Sales
$12.64M",number
Total Sales by MARKET,Total Sales,"Total Orders
25K",number
Total Sales by MARKET,MARKET,"Total Customers
2K",number
Total Sales by MARKET,Total Sales,"Total Profit
$1.47M",number
Total Sales by MARKET,MARKET,"Profit Margin
11.61%",number
Total Sales by MARKET,Total Sales,"Return Rate %
4.68 %",number
Total Sales by MARKET,MARKET,"$3,585,744.13",number
Total Sales by MARKET,Total Sales,"$2,938,089.06",number
Total Sales by MARKET,MARKET,"$2,297,200.86",number
Total Sales by MARKET,Total Sales,"$2,164,605.17",number
Total Sales by MARKET,MARKET,"$806,161.31",number
Total Sales by MARKET,Total Sales,"$783,773.21",number
Total Sales by MARKET,MARKET,"$66,928.17",number
Total Sales by CATEGORY and SUB_CATEGORY,CATEGORY,"Total Sales
$12.64M",number
Total Sales by CATEGORY and SUB_CATEGORY,Accessories,"Total Orders
25K",number
