visual_name,kpi_name,value,value_type
Untitled Visual,Value,Total Sales$12.64M,number
Untitled Visual,Value,Total Orders25K,number
Untitled Visual,Value,Total Customers2K,number
Untitled Visual,Value,Total Profit$1.47M,number
Untitled Visual,Value,Profit Margin11.61%,number
Untitled Visual,Value,Return Rate %4.68 %,number
Untitled Visual,Value,Total Sales$12.64M,number
Untitled Visual,Value,Total Orders25K,number
Untitled Visual,Value,Total Customers2K,number
Untitled Visual,Value,Total Profit$1.47M,number
Untitled Visual,Value,Profit Margin11.61%,number
Untitled Visual,Value,Return Rate %4.68 %,number
Total Sales and Total Profit by Year and Quarter,Value,Total Sales$12.64M,number
Total Sales and Total Profit by Year and Quarter,Value,Total Orders25K,number
Total Sales and Total Profit by Year and Quarter,Value,Total Customers2K,number
Total Sales and Total Profit by Year and Quarter,Value,Total Profit$1.47M,number
Total Sales and Total Profit by Year and Quarter,Value,Profit Margin11.61%,number
Total Sales and Total Profit by Year and Quarter,Value,Return Rate %4.68 %,number
Untitled Visual,Value,Total Sales$12.64M,number
Untitled Visual,Value,Total Orders25K,number
Untitled Visual,Value,Total Customers2K,number
Untitled Visual,Value,Total Profit$1.47M,number
Untitled Visual,Value,Profit Margin11.61%,number
Untitled Visual,Value,Return Rate %4.68 %,number
Total Sales by MARKET,Value,Total Sales$12.64M,number
Total Sales by MARKET,Value,Total Orders25K,number
Total Sales by MARKET,Value,Total Customers2K,number
Total Sales by MARKET,Value,Total Profit$1.47M,number
Total Sales by MARKET,Value,Profit Margin11.61%,number
Total Sales by MARKET,Value,Return Rate %4.68 %,number
Untitled Visual,Value,Total Sales$12.64M,number
Untitled Visual,Value,Total Orders25K,number
Untitled Visual,Value,Total Customers2K,number
Untitled Visual,Value,Total Profit$1.47M,number
Untitled Visual,Value,Profit Margin11.61%,number
Untitled Visual,Value,Return Rate %4.68 %,number
Total Sales by CATEGORY and SUB_CATEGORY,Value,Total Sales$12.64M,number
Total Sales by CATEGORY and SUB_CATEGORY,Value,Total Orders25K,number
Total Sales by CATEGORY and SUB_CATEGORY,Value,Total Customers2K,number
Total Sales by CATEGORY and SUB_CATEGORY,Value,Total Profit$1.47M,number
Total Sales by CATEGORY and SUB_CATEGORY,Value,Profit Margin11.61%,number
Total Sales by CATEGORY and SUB_CATEGORY,Value,Return Rate %4.68 %,number
Untitled Visual,Value,Total Sales$12.64M,number
Untitled Visual,Value,Total Orders25K,number
Untitled Visual,Value,Total Customers2K,number
Untitled Visual,Value,Total Profit$1.47M,number
Untitled Visual,Value,Profit Margin11.61%,number
Untitled Visual,Value,Return Rate %4.68 %,number
Total Sales by SEGMENT,Value,Total Sales$12.64M,number
Total Sales by SEGMENT,Value,Total Orders25K,number
Total Sales by SEGMENT,Value,Total Customers2K,number
Total Sales by SEGMENT,Value,Total Profit$1.47M,number
Total Sales by SEGMENT,Value,Profit Margin11.61%,number
Total Sales by SEGMENT,Value,Return Rate %4.68 %,number
Untitled Visual,Value,Total Sales$12.64M,number
Untitled Visual,Value,Total Orders25K,number
Untitled Visual,Value,Total Customers2K,number
Untitled Visual,Value,Total Profit$1.47M,number
Untitled Visual,Value,Profit Margin11.61%,number
Untitled Visual,Value,Return Rate %4.68 %,number
