visual_name,kpi_name,value,value_type
Untitled Visual,Total Sales,"$12,642,501.91",number
Untitled Visual,Total Orders,25035,number
Untitled Visual,Total Customers,1590,number
Untitled Visual,Total Profit,"$1,467,457.29",number
Untitled Visual,Profit Margin,11.61%,number
Untitled Visual,Return Rate %,4.68 %,number
Untitled Visual,Total Sales,"$12,642,501.91",number
Untitled Visual,Total Orders,25035,number
Untitled Visual,Total Customers,1590,number
Untitled Visual,Total Profit,"$1,467,457.29",number
Untitled Visual,Profit Margin,11.61%,number
Untitled Visual,Return Rate %,4.68 %,number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2011, Qtr 1]","$335,780.01",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2011, Qtr 1]","$36,043.28",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2011, Qtr 2]","$478,870.98",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2011, Qtr 2]","$48,501.40",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2011, Qtr 3]","$613,306.37",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2011, Qtr 3]","$65,075.56",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2011, Qtr 4]","$831,493.54",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2011, Qtr 4]","$99,320.58",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2012, Qtr 1]","$399,367.71",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2012, Qtr 1]","$43,394.65",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2012, Qtr 2]","$625,592.86",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2012, Qtr 2]","$81,650.82",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2012, Qtr 3]","$737,768.89",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2012, Qtr 3]","$86,935.45",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2012, Qtr 4]","$914,709.23",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2012, Qtr 4]","$95,434.36",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2013, Qtr 1]","$565,019.59",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2013, Qtr 1]","$74,006.83",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2013, Qtr 2]","$834,839.49",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2013, Qtr 2]","$93,436.15",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2013, Qtr 3]","$933,036.99",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2013, Qtr 3]","$98,793.16",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2013, Qtr 4]","$1,072,850.38",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2013, Qtr 4]","$140,699.09",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2014, Qtr 1]","$689,206.68",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2014, Qtr 1]","$85,110.35",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2014, Qtr 2]","$932,986.97",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2014, Qtr 2]","$101,514.46",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2014, Qtr 3]","$1,196,482.87",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2014, Qtr 3]","$149,558.22",number
Total Sales and Total Profit by Year and Quarter,"Total Sales [2014, Qtr 4]","$1,481,189.35",number
Total Sales and Total Profit by Year and Quarter,"Total Profit [2014, Qtr 4]","$167,982.94",number
Untitled Visual,"Total Sales [2011, Qtr 1]","$335,780.01",number
Untitled Visual,"Total Profit [2011, Qtr 1]","$36,043.28",number
Untitled Visual,"Total Sales [2011, Qtr 2]","$478,870.98",number
Untitled Visual,"Total Profit [2011, Qtr 2]","$48,501.40",number
Untitled Visual,"Total Sales [2011, Qtr 3]","$613,306.37",number
Untitled Visual,"Total Profit [2011, Qtr 3]","$65,075.56",number
Untitled Visual,"Total Sales [2011, Qtr 4]","$831,493.54",number
Untitled Visual,"Total Profit [2011, Qtr 4]","$99,320.58",number
Untitled Visual,"Total Sales [2012, Qtr 1]","$399,367.71",number
Untitled Visual,"Total Profit [2012, Qtr 1]","$43,394.65",number
Untitled Visual,"Total Sales [2012, Qtr 2]","$625,592.86",number
Untitled Visual,"Total Profit [2012, Qtr 2]","$81,650.82",number
Untitled Visual,"Total Sales [2012, Qtr 3]","$737,768.89",number
Untitled Visual,"Total Profit [2012, Qtr 3]","$86,935.45",number
Untitled Visual,"Total Sales [2012, Qtr 4]","$914,709.23",number
Untitled Visual,"Total Profit [2012, Qtr 4]","$95,434.36",number
Untitled Visual,"Total Sales [2013, Qtr 1]","$565,019.59",number
Untitled Visual,"Total Profit [2013, Qtr 1]","$74,006.83",number
Untitled Visual,"Total Sales [2013, Qtr 2]","$834,839.49",number
Untitled Visual,"Total Profit [2013, Qtr 2]","$93,436.15",number
Untitled Visual,"Total Sales [2013, Qtr 3]","$933,036.99",number
Untitled Visual,"Total Profit [2013, Qtr 3]","$98,793.16",number
Untitled Visual,"Total Sales [2013, Qtr 4]","$1,072,850.38",number
Untitled Visual,"Total Profit [2013, Qtr 4]","$140,699.09",number
Untitled Visual,"Total Sales [2014, Qtr 1]","$689,206.68",number
Untitled Visual,"Total Profit [2014, Qtr 1]","$85,110.35",number
Untitled Visual,"Total Sales [2014, Qtr 2]","$932,986.97",number
Untitled Visual,"Total Profit [2014, Qtr 2]","$101,514.46",number
Untitled Visual,"Total Sales [2014, Qtr 3]","$1,196,482.87",number
Untitled Visual,"Total Profit [2014, Qtr 3]","$149,558.22",number
Untitled Visual,"Total Sales [2014, Qtr 4]","$1,481,189.35",number
