visual_name,kpi_name,value,value_type,visual_type
Untitled Visual,REGION,Africa,number,table
Untitled Visual,SEGMENT,Consumer,number,table
Untitled Visual,Value,1/1/2011,number,table
Top 10 Total Sales by PRODUCE_NAME,"Total Sales [Apple Smart Phone, Full Size]","$86,935.78",number,table
Top 10 Total Sales by PRODUCE_NAME,"Total Sales [Cisco Smart Phone, Full Size]","$76,441.53",number,table
Top 10 Total Sales by PRODUCE_NAME,"Total Sales [Motorola Smart Phone, Full Size]","$73,156.30",number,table
Top 10 Total Sales by PRODUCE_NAME,"Total Sales [Nokia Smart Phone, Full Size]","$71,904.56",number,table
Top 10 Total Sales by PRODUCE_NAME,Total Sales [Canon imageCLASS 2200 Advanced Copier],"$61,599.82",number,table
Top 10 Total Sales by PRODUCE_NAME,"Total Sales [Hon Executive Leather Armchair, Adjustable]","$58,193.48",number,table
Top 10 Total Sales by PRODUCE_NAME,"Total Sales [Office Star Executive Leather Armchair, Adjustable]","$50,661.68",number,table
Top 10 Total Sales by PRODUCE_NAME,"Total Sales [Harbour Creations Executive Leather Armchair, Adjustable]","$50,121.52",number,table
Top 10 Total Sales by PRODUCE_NAME,"Total Sales [Samsung Smart Phone, Cordless]","$48,653.46",number,table
Top 10 Total Sales by PRODUCE_NAME,"Total Sales [Nokia Smart Phone, with Caller ID]","$47,877.79",number,table
,Return Rate % [Accessories],6.96 %,number,table
,Profit Margin [Accessories],17.30%,number,table
,Total Sales [Accessories],"$749,237.02",number,table
,Return Rate % [Appliances],7.18 %,number,table
,Profit Margin [Appliances],14.01%,number,table
,Total Sales [Appliances],"$1,011,064.30",number,table
,Return Rate % [Art],4.49 %,number,table
,Profit Margin [Art],15.58%,number,table
,Total Sales [Art],"$372,091.97",number,table
,Return Rate % [Binders],5.42 %,number,table
,Profit Margin [Binders],15.68%,number,table
,Total Sales [Binders],"$461,911.51",number,table
,Return Rate % [Bookcases],5.91 %,number,table
,Profit Margin [Bookcases],11.04%,number,table
,Total Sales [Bookcases],"$1,466,572.24",number,table
,Return Rate % [Chairs],6.09 %,number,table
,Profit Margin [Chairs],9.35%,number,table
,Total Sales [Chairs],"$1,501,681.76",number,table
,Return Rate % [Copiers],5.94 %,number,table
,Profit Margin [Copiers],17.13%,number,table
,Total Sales [Copiers],"$1,509,436.27",number,table
,Return Rate % [Envelopes],6.02 %,number,table
,Profit Margin [Envelopes],17.32%,number,table
,Total Sales [Envelopes],"$170,904.30",number,table
,Return Rate % [Fasteners],7.20 %,number,table
,Profit Margin [Fasteners],13.85%,number,table
,Total Sales [Fasteners],"$83,242.32",number,table
,Return Rate % [Furnishings],6.44 %,number,table
,Profit Margin [Furnishings],12.18%,number,table
,Total Sales [Furnishings],"$385,578.26",number,table
,Return Rate % [Labels],5.41 %,number,table
,Profit Margin [Labels],20.45%,number,table
,Total Sales [Labels],"$73,404.03",number,table
,Return Rate % [Machines],4.85 %,number,table
,Profit Margin [Machines],7.56%,number,table
,Total Sales [Machines],"$779,060.07",number,table
,Return Rate % [Paper],6.56 %,number,table
,Profit Margin [Paper],24.24%,number,table
,Total Sales [Paper],"$244,291.72",number,table
,Return Rate % [Phones],5.87 %,number,table
,Profit Margin [Phones],12.70%,number,table
,Total Sales [Phones],"$1,706,824.14",number,table
,Return Rate % [Storage],4.85 %,number,table
,Profit Margin [Storage],9.62%,number,table
,Total Sales [Storage],"$1,127,085.86",number,table
,Return Rate % [Supplies],5.92 %,number,table
,Profit Margin [Supplies],9.29%,number,table
,Total Sales [Supplies],"$243,074.22",number,table
,Return Rate % [Tables],7.54 %,number,table
,Profit Margin [Tables],-8.46%,number,table
,Total Sales [Tables],"$757,041.92",number,table
Untitled Visual,Total Sales [North Asia],"$848,309.78",number,table
Untitled Visual,Total Orders [North Asia],1150,number,table
Untitled Visual,Return Rate % [North Asia],13.83 %,number,table
Untitled Visual,Total Sales [West],"$725,457.82",number,table
Untitled Visual,Total Orders [West],1611,number,table
